Band,Album,File size,Track,Title,Growl,Chug,Shred,Riffage
Gojira,Fortitude,4396217,1,Born For One Thing,8,8,5,8
Gojira,Fortitude,4801783,2,Amazonia,8,8,5,7
Gojira,Fortitude,4617611,3,Another World,9,8,5,8
Gojira,Fortitude,5674236,4,Hold On,9,6,5,9
Gojira,Fortitude,6791504,5,New Found,7,10,5,8
Gojira,Fortitude,2538368,6,Fortitude,4,2,3,8
Gojira,Fortitude,5359696,7,The Chant,6,7,7,8
Gojira,Fortitude,4207433,8,Sphinx,9,8,6,9
Gojira,Fortitude,4973325,9,Into The Storm,8,9,5,8
Gojira,Fortitude,4282010,10,The Trails,6,8,7,8
Gojira,Fortitude,5487723,11,Grind,9,8,6,9
Gojira,From Mars To Sirius,5219275,1,Ocean Planet,9,9,5,10
Gojira,From Mars To Sirius,4274471,2,Backbone,9,10,5,8
Gojira,From Mars To Sirius,5795517,3,From the sky,9,9,5,9
Gojira,From Mars To Sirius,2142190,3,Unicorn,0,2,5,8
Gojira,From Mars To Sirius,6674633,4,Where dragons dwell,9,9,6,7
Gojira,From Mars To Sirius,3970812,5,The heaviest matter of the universe,8,9,6,8
Gojira,From Mars To Sirius,7484233,6,Flying whales,7,7,5,10
Gojira,From Mars To Sirius,7541462,7,In the wilderness,9,10,7,8
Gojira,From Mars To Sirius,6838990,8,World to come,8,7,5,9
Gojira,From Mars To Sirius,2217838,9,From mars,5,3,4,8
Gojira,From Mars To Sirius,3831406,10,To Sirius,10,9,4,8
Gojira,From Mars To Sirius,7619038,11,Global warming,7,6,7,9
Megadeth,A Call To Arms,3948060,,Never Walk Alone,6,8,7,7
Megadeth,Countdown To Extinction,4781182,,Foreclosure Of A Dream,5,5,6,7
Megadeth,Countdown To Extinction,4573548,,Sweating Bullets,5,6,5,4
Megadeth,Countdown To Extinction,3865669,,Symphony of Destruction,6,8,8,8
Megadeth,Dystopia,5413748,,Dystopia,5,6,9,8
Megadeth,Dystopia,4458949,,Fatal Illusion,6,8,9,8
Megadeth,Dystopia,6220549,,Poisonous Shadows,6,9,8,9
Megadeth,Dystopia,4654021,,The Threat Is Real,6,8,9,9
Megadeth,Endgame,3922060,,Head Crusher,6,8,8,7
Megadeth,Endgame,4543176,,The Right To Go Insane,5,7,9,8
Megadeth,Last Action Hero,4340653,,Angry Again,5,7,7,8
Megadeth,Peace Sells (But Who's Buying),6764460,,Good Mourning_Black Friday,6,8,9,8
Megadeth,Peace Sells (But Who's Buying),4219274,,Peace Sells,5,7,8,6
Megadeth,Peace Sells (But Who's Buying),4064764,,Wake Up Dead,5,6,8,7
Megadeth,Risk,4387078,,Breadline,3,4,4,4
Megadeth,Rust in Peace,6175237,,Five Magics,4,6,7,6
Megadeth,Rust in Peace,3488614,,Hangar 18,5,6,8,6
Megadeth,Rust in Peace,3993589,,Lucretia,6,7,8,9
Megadeth,Rust in Peace,5690056,,Tornado of Souls,5,7,10,9
Megadeth,"So Far, So Good... So What!",5213235,,In My Darkest Hour,4,6,7,8
Megadeth,Super Collider,4227106,,A House Divided,5,8,7,7
Megadeth,Super Collider,4356622,,Kingmaker,6,6,9,9
Megadeth,Super Collider,4268936,,Super Collider,3,4,5,5
Megadeth,TH1RT3N,2634637,,Public Enemy No. 1,5,5,8,6
Megadeth,TH1RT3N,4609738,,Whose Life (Is It Anyways),5,5,7,6
Megadeth,The System Has Failed,3219799,,Back in the Day,6,6,8,6
Megadeth,Youthanasia,5720662,,Addicted To Chaos,5,7,9,9
Megadeth,Youthanasia,4465770,,Reckoning Day,7,8,7,8
Triosphere,The Heart of the Matter,6599249,1,My Fortress,7,8,9,6
Triosphere,The Heart of the Matter,5608189,2,Steal Away The Light,4,8,8,7
Triosphere,The Heart of the Matter,5724185,3,The Sentinel,6,7,9,7
Triosphere,The Heart of the Matter,7618151,4,Breathless,5,5,6,5
Triosphere,The Heart of the Matter,6700645,5,Departure,4,5,5,7
Triosphere,The Heart of the Matter,6975384,6,The Hearts Dominion,6,6,6,6
Triosphere,The Heart of the Matter,5549483,7,As I Call,5,7,9,7
Triosphere,The Heart of the Matter,4149646,8,Relentless,7,7,9,6
Triosphere,The Heart of the Matter,6313014,9,The Sphere,4,5,7,8
Triosphere,The Heart of the Matter,7082647,10,Remedy,5,4,9,7
Triosphere,The Heart of the Matter,6639657,11,Storyteller,6,6,9,8
Triosphere,The Heart of the Matter,4335465,12,Virgin Ground,2,2,4,4
Triosphere,The Road Less Travelled,2288031,1,Ignition,6,6,8,7
Triosphere,The Road Less Travelled,4870521,2,Driven,5,4,7,9
Triosphere,The Road Less Travelled,4777117,3,Human Condition,5,6,8,8
Triosphere,The Road Less Travelled,4895202,4,Death of Jane Doe,7,8,7,7
Triosphere,The Road Less Travelled,5611520,5,Marionette,7,7,7,4
Triosphere,The Road Less Travelled,5604948,6,The Road Less Travelled,6,6,6,5
Triosphere,The Road Less Travelled,6397242,7,The Anger and the Silent Remorse,5,4,9,6
Triosphere,The Road Less Travelled,5002540,8,Watcher,5,6,6,6
Triosphere,The Road Less Travelled,4997441,9,Twenty One,5,5,6,6
Triosphere,The Road Less Travelled,7069316,10,Worlds Apart,5,5,4,6
Triosphere,The Road Less Travelled,2492290,11,The Last Haven,5,6,5,5
Triosphere,The Road Less Travelled,4468890,12,Echoes,3,2,4,7
